; Report for caches, TLBs, and main memory
;    Accesses - Total number of accesses
;    Hits, Misses - Accesses resulting in hits/misses
;    HitRatio - Hits divided by accesses
;    Evictions - Invalidated or replaced cache blocks
;    Retries - For L1 caches, accesses that were retried
;    ReadRetries, WriteRetries, NCWriteRetries - Read/Write retried accesses
;    NoRetryAccesses - Number of accesses that were not retried
;    NoRetryHits, NoRetryMisses - Hits and misses for not retried accesses
;    NoRetryHitRatio - NoRetryHits divided by NoRetryAccesses
;    NoRetryReads, NoRetryWrites - Not retried reads and writes
;    Reads, Writes, NCWrites - Total read/write accesses
;    BlockingReads, BlockingWrites, BlockingNCWrites - Reads/writes coming from lower-level cache
;    NonBlockingReads, NonBlockingWrites, NonBlockingNCWrites - Coming from upper-level cache


[ mm-0 ]
HitRatio = 0.5239
Evictions = 3466
Retries = 0

Reads = 9429
ReadRetries = 0
BlockingReads = 0
NonBlockingReads = 9429
ReadHits = 4939
ReadMisses = 4490

Writes = 1
WriteRetries = 0
BlockingWrites = 0
NonBlockingWrites = 1
WriteHits = 1
WriteMisses = 0

NCWrites = 0
NCWriteRetries = 0
NCBlockingWrites = 0
NCNonBlockingWrites = 0
NCWriteHits = 0
NCWriteMisses = 0
Prefetches = 0
PrefetchAborts = 0
UselessPrefetches = 0

NoRetryAccesses = 9430
NoRetryHits = 4940
NoRetryMisses = 4490
NoRetryHitRatio = 0.5239
NoRetryReads = 9429
NoRetryReadHits = 4939
NoRetryReadMisses = 4490
NoRetryWrites = 1
NoRetryWriteHits = 1
NoRetryWriteMisses = 0
NoRetryNCWrites = 0
NoRetryNCWriteHits = 0
NoRetryNCWriteMisses = 0


[ l3-0 ]

Sets = 256
Assoc = 64
Policy = LRU
BlockSize = 128
Latency = 20
Ports = 2

Accesses = 27808
Hits = 18282
Misses = 9526
HitRatio = 0.6574
Evictions = 1
Retries = 0

Reads = 14745
ReadRetries = 0
BlockingReads = 0
NonBlockingReads = 14745
ReadHits = 5219
ReadMisses = 9526

Writes = 13063
WriteRetries = 0
BlockingWrites = 7158
NonBlockingWrites = 5905
WriteHits = 13063
WriteMisses = 0

NCWrites = 0
NCWriteRetries = 0
NCBlockingWrites = 0
NCNonBlockingWrites = 0
NCWriteHits = 0
NCWriteMisses = 0
Prefetches = 0
PrefetchAborts = 0
UselessPrefetches = 0

NoRetryAccesses = 27808
NoRetryHits = 18282
NoRetryMisses = 9526
NoRetryHitRatio = 0.6574
NoRetryReads = 14745
NoRetryReadHits = 5219
NoRetryReadMisses = 9526
NoRetryWrites = 13063
NoRetryWriteHits = 13063
NoRetryWriteMisses = 0
NoRetryNCWrites = 0
NoRetryNCWriteHits = 0
NoRetryNCWriteMisses = 0


[ l3-1 ]

Sets = 256
Assoc = 64
Policy = LRU
BlockSize = 128
Latency = 20
Ports = 2

Accesses = 27784
Hits = 18282
Misses = 9502
HitRatio = 0.658
Evictions = 1
Retries = 0

Reads = 14674
ReadRetries = 0
BlockingReads = 0
NonBlockingReads = 14674
ReadHits = 5172
ReadMisses = 9502

Writes = 13110
WriteRetries = 0
BlockingWrites = 7165
NonBlockingWrites = 5945
WriteHits = 13110
WriteMisses = 0

NCWrites = 0
NCWriteRetries = 0
NCBlockingWrites = 0
NCNonBlockingWrites = 0
NCWriteHits = 0
NCWriteMisses = 0
Prefetches = 0
PrefetchAborts = 0
UselessPrefetches = 0

NoRetryAccesses = 27784
NoRetryHits = 18282
NoRetryMisses = 9502
NoRetryHitRatio = 0.658
NoRetryReads = 14674
NoRetryReadHits = 5172
NoRetryReadMisses = 9502
NoRetryWrites = 13110
NoRetryWriteHits = 13110
NoRetryWriteMisses = 0
NoRetryNCWrites = 0
NoRetryNCWriteHits = 0
NoRetryNCWriteMisses = 0


[ l3-2 ]

Sets = 256
Assoc = 64
Policy = LRU
BlockSize = 128
Latency = 20
Ports = 2

Accesses = 27412
Hits = 17983
Misses = 9429
HitRatio = 0.656
Evictions = 1
Retries = 0

Reads = 14406
ReadRetries = 0
BlockingReads = 0
NonBlockingReads = 14406
ReadHits = 4977
ReadMisses = 9429

Writes = 13006
WriteRetries = 0
BlockingWrites = 7128
NonBlockingWrites = 5878
WriteHits = 13006
WriteMisses = 0

NCWrites = 0
NCWriteRetries = 0
NCBlockingWrites = 0
NCNonBlockingWrites = 0
NCWriteHits = 0
NCWriteMisses = 0
Prefetches = 0
PrefetchAborts = 0
UselessPrefetches = 0

NoRetryAccesses = 27412
NoRetryHits = 17983
NoRetryMisses = 9429
NoRetryHitRatio = 0.656
NoRetryReads = 14406
NoRetryReadHits = 4977
NoRetryReadMisses = 9429
NoRetryWrites = 13006
NoRetryWriteHits = 13006
NoRetryWriteMisses = 0
NoRetryNCWrites = 0
NoRetryNCWriteHits = 0
NoRetryNCWriteMisses = 0


[ l2-0 ]

Sets = 128
Assoc = 16
Policy = LRU
BlockSize = 64
Latency = 10
Ports = 2

Accesses = 21536
Hits = 12799
Misses = 8737
HitRatio = 0.5943
Evictions = 3544
Retries = 0

Reads = 12408
ReadRetries = 0
BlockingReads = 2000
NonBlockingReads = 10408
ReadHits = 3671
ReadMisses = 8737

Writes = 9012
WriteRetries = 0
BlockingWrites = 2266
NonBlockingWrites = 6746
WriteHits = 9012
WriteMisses = 0

NCWrites = 0
NCWriteRetries = 0
NCBlockingWrites = 0
NCNonBlockingWrites = 0
NCWriteHits = 0
NCWriteMisses = 0
Prefetches = 0
PrefetchAborts = 0
UselessPrefetches = 0

NoRetryAccesses = 21536
NoRetryHits = 12799
NoRetryMisses = 8737
NoRetryHitRatio = 0.5943
NoRetryReads = 12408
NoRetryReadHits = 3671
NoRetryReadMisses = 8737
NoRetryWrites = 9012
NoRetryWriteHits = 9012
NoRetryWriteMisses = 0
NoRetryNCWrites = 0
NoRetryNCWriteHits = 0
NoRetryNCWriteMisses = 0


[ l2-1 ]

Sets = 128
Assoc = 16
Policy = LRU
BlockSize = 64
Latency = 10
Ports = 2

Accesses = 21626
Hits = 12851
Misses = 8775
HitRatio = 0.5942
Evictions = 3541
Retries = 0

Reads = 12471
ReadRetries = 0
BlockingReads = 1977
NonBlockingReads = 10494
ReadHits = 3696
ReadMisses = 8775

Writes = 9029
WriteRetries = 0
BlockingWrites = 2285
NonBlockingWrites = 6744
WriteHits = 9029
WriteMisses = 0

NCWrites = 0
NCWriteRetries = 0
NCBlockingWrites = 0
NCNonBlockingWrites = 0
NCWriteHits = 0
NCWriteMisses = 0
Prefetches = 0
PrefetchAborts = 0
UselessPrefetches = 0

NoRetryAccesses = 21626
NoRetryHits = 12851
NoRetryMisses = 8775
NoRetryHitRatio = 0.5942
NoRetryReads = 12471
NoRetryReadHits = 3696
NoRetryReadMisses = 8775
NoRetryWrites = 9029
NoRetryWriteHits = 9029
NoRetryWriteMisses = 0
NoRetryNCWrites = 0
NoRetryNCWriteHits = 0
NoRetryNCWriteMisses = 0


[ l2-2 ]

Sets = 128
Assoc = 16
Policy = LRU
BlockSize = 64
Latency = 10
Ports = 2

Accesses = 21540
Hits = 12747
Misses = 8793
HitRatio = 0.5918
Evictions = 3551
Retries = 0

Reads = 12407
ReadRetries = 0
BlockingReads = 1964
NonBlockingReads = 10443
ReadHits = 3614
ReadMisses = 8793

Writes = 9008
WriteRetries = 0
BlockingWrites = 2265
NonBlockingWrites = 6743
WriteHits = 9008
WriteMisses = 0

NCWrites = 0
NCWriteRetries = 0
NCBlockingWrites = 0
NCNonBlockingWrites = 0
NCWriteHits = 0
NCWriteMisses = 0
Prefetches = 0
PrefetchAborts = 0
UselessPrefetches = 0

NoRetryAccesses = 21540
NoRetryHits = 12747
NoRetryMisses = 8793
NoRetryHitRatio = 0.5918
NoRetryReads = 12407
NoRetryReadHits = 3614
NoRetryReadMisses = 8793
NoRetryWrites = 9008
NoRetryWriteHits = 9008
NoRetryWriteMisses = 0
NoRetryNCWrites = 0
NoRetryNCWriteHits = 0
NoRetryNCWriteMisses = 0


[ l2-3 ]

Sets = 128
Assoc = 16
Policy = LRU
BlockSize = 64
Latency = 10
Ports = 2

Accesses = 21535
Hits = 12785
Misses = 8750
HitRatio = 0.5937
Evictions = 3539
Retries = 0

Reads = 12396
ReadRetries = 0
BlockingReads = 1990
NonBlockingReads = 10406
ReadHits = 3646
ReadMisses = 8750

Writes = 9023
WriteRetries = 0
BlockingWrites = 2273
NonBlockingWrites = 6750
WriteHits = 9023
WriteMisses = 0

NCWrites = 0
NCWriteRetries = 0
NCBlockingWrites = 0
NCNonBlockingWrites = 0
NCWriteHits = 0
NCWriteMisses = 0
Prefetches = 0
PrefetchAborts = 0
UselessPrefetches = 0

NoRetryAccesses = 21535
NoRetryHits = 12785
NoRetryMisses = 8750
NoRetryHitRatio = 0.5937
NoRetryReads = 12396
NoRetryReadHits = 3646
NoRetryReadMisses = 8750
NoRetryWrites = 9023
NoRetryWriteHits = 9023
NoRetryWriteMisses = 0
NoRetryNCWrites = 0
NoRetryNCWriteHits = 0
NoRetryNCWriteMisses = 0


[ l2-4 ]

Sets = 128
Assoc = 16
Policy = LRU
BlockSize = 64
Latency = 10
Ports = 2

Accesses = 21529
Hits = 12759
Misses = 8770
HitRatio = 0.5926
Evictions = 3553
Retries = 0

Reads = 12386
ReadRetries = 0
BlockingReads = 1969
NonBlockingReads = 10417
ReadHits = 3616
ReadMisses = 8770

Writes = 9020
WriteRetries = 0
BlockingWrites = 2272
NonBlockingWrites = 6748
WriteHits = 9020
WriteMisses = 0

NCWrites = 0
NCWriteRetries = 0
NCBlockingWrites = 0
NCNonBlockingWrites = 0
NCWriteHits = 0
NCWriteMisses = 0
Prefetches = 0
PrefetchAborts = 0
UselessPrefetches = 0

NoRetryAccesses = 21529
NoRetryHits = 12759
NoRetryMisses = 8770
NoRetryHitRatio = 0.5926
NoRetryReads = 12386
NoRetryReadHits = 3616
NoRetryReadMisses = 8770
NoRetryWrites = 9020
NoRetryWriteHits = 9020
NoRetryWriteMisses = 0
NoRetryNCWrites = 0
NoRetryNCWriteHits = 0
NoRetryNCWriteMisses = 0


[ l1-cu00 ]

Sets = 64
Assoc = 4
Policy = LRU
BlockSize = 64
Latency = 1
Ports = 2

Accesses = 262064
Hits = 257777
Misses = 4287
HitRatio = 0.9836
Evictions = 2875
Retries = 358

Reads = 519524
ReadRetries = 358
BlockingReads = 133138
NonBlockingReads = 0
ReadHits = 128851
ReadMisses = 390673

Writes = 798
WriteRetries = 0
BlockingWrites = 798
NonBlockingWrites = 0
WriteHits = 798
WriteMisses = 0

NCWrites = 512512
NCWriteRetries = 0
NCBlockingWrites = 128128
NCNonBlockingWrites = 0
NCWriteHits = 128128
NCWriteMisses = 384384
Prefetches = 0
PrefetchAborts = 0
UselessPrefetches = 0

NoRetryAccesses = 261706
NoRetryHits = 257777
NoRetryMisses = 3929
NoRetryHitRatio = 0.985
NoRetryReads = 132780
NoRetryReadHits = 128851
NoRetryReadMisses = 3929
NoRetryWrites = 798
NoRetryWriteHits = 798
NoRetryWriteMisses = 0
NoRetryNCWrites = 128128
NoRetryNCWriteHits = 128128
NoRetryNCWriteMisses = 0


[ l1-cu01 ]

Sets = 64
Assoc = 4
Policy = LRU
BlockSize = 64
Latency = 1
Ports = 2

Accesses = 264850
Hits = 258522
Misses = 6328
HitRatio = 0.9761
Evictions = 3876
Retries = 1398

Reads = 521309
ReadRetries = 1398
BlockingReads = 135924
NonBlockingReads = 0
ReadHits = 129596
ReadMisses = 391713

Writes = 798
WriteRetries = 0
BlockingWrites = 798
NonBlockingWrites = 0
WriteHits = 798
WriteMisses = 0

NCWrites = 512512
NCWriteRetries = 0
NCBlockingWrites = 128128
NCNonBlockingWrites = 0
NCWriteHits = 128128
NCWriteMisses = 384384
Prefetches = 0
PrefetchAborts = 0
UselessPrefetches = 0

NoRetryAccesses = 263452
NoRetryHits = 258522
NoRetryMisses = 4930
NoRetryHitRatio = 0.9813
NoRetryReads = 134526
NoRetryReadHits = 129596
NoRetryReadMisses = 4930
NoRetryWrites = 798
NoRetryWriteHits = 798
NoRetryWriteMisses = 0
NoRetryNCWrites = 128128
NoRetryNCWriteHits = 128128
NoRetryNCWriteMisses = 0


[ l1-cu02 ]

Sets = 64
Assoc = 4
Policy = LRU
BlockSize = 64
Latency = 1
Ports = 2

Accesses = 261579
Hits = 257446
Misses = 4133
HitRatio = 0.9842
Evictions = 2872
Retries = 207

Reads = 518781
ReadRetries = 207
BlockingReads = 132781
NonBlockingReads = 0
ReadHits = 128648
ReadMisses = 390133

Writes = 798
WriteRetries = 0
BlockingWrites = 798
NonBlockingWrites = 0
WriteHits = 798
WriteMisses = 0

NCWrites = 512000
NCWriteRetries = 0
NCBlockingWrites = 128000
NCNonBlockingWrites = 0
NCWriteHits = 128000
NCWriteMisses = 384000
Prefetches = 0
PrefetchAborts = 0
UselessPrefetches = 0

NoRetryAccesses = 261372
NoRetryHits = 257446
NoRetryMisses = 3926
NoRetryHitRatio = 0.985
NoRetryReads = 132574
NoRetryReadHits = 128648
NoRetryReadMisses = 3926
NoRetryWrites = 798
NoRetryWriteHits = 798
NoRetryWriteMisses = 0
NoRetryNCWrites = 128000
NoRetryNCWriteHits = 128000
NoRetryNCWriteMisses = 0


[ l1-cu03 ]

Sets = 64
Assoc = 4
Policy = LRU
BlockSize = 64
Latency = 1
Ports = 2

Accesses = 264553
Hits = 258265
Misses = 6288
HitRatio = 0.9762
Evictions = 3872
Retries = 1361

Reads = 520754
ReadRetries = 1361
BlockingReads = 135754
NonBlockingReads = 0
ReadHits = 129466
ReadMisses = 391288

Writes = 799
WriteRetries = 0
BlockingWrites = 799
NonBlockingWrites = 0
WriteHits = 799
WriteMisses = 0

NCWrites = 512000
NCWriteRetries = 0
NCBlockingWrites = 128000
NCNonBlockingWrites = 0
NCWriteHits = 128000
NCWriteMisses = 384000
Prefetches = 0
PrefetchAborts = 0
UselessPrefetches = 0

NoRetryAccesses = 263192
NoRetryHits = 258265
NoRetryMisses = 4927
NoRetryHitRatio = 0.9813
NoRetryReads = 134393
NoRetryReadHits = 129466
NoRetryReadMisses = 4927
NoRetryWrites = 799
NoRetryWriteHits = 799
NoRetryWriteMisses = 0
NoRetryNCWrites = 128000
NoRetryNCWriteHits = 128000
NoRetryNCWriteMisses = 0


[ l1-cu04 ]

Sets = 64
Assoc = 4
Policy = LRU
BlockSize = 64
Latency = 1
Ports = 2

Accesses = 261515
Hits = 257427
Misses = 4088
HitRatio = 0.9844
Evictions = 2877
Retries = 161

Reads = 518716
ReadRetries = 161
BlockingReads = 132716
NonBlockingReads = 0
ReadHits = 128628
ReadMisses = 390088

Writes = 799
WriteRetries = 0
BlockingWrites = 799
NonBlockingWrites = 0
WriteHits = 799
WriteMisses = 0

NCWrites = 512000
NCWriteRetries = 0
NCBlockingWrites = 128000
NCNonBlockingWrites = 0
NCWriteHits = 128000
NCWriteMisses = 384000
Prefetches = 0
PrefetchAborts = 0
UselessPrefetches = 0

NoRetryAccesses = 261354
NoRetryHits = 257427
NoRetryMisses = 3927
NoRetryHitRatio = 0.985
NoRetryReads = 132555
NoRetryReadHits = 128628
NoRetryReadMisses = 3927
NoRetryWrites = 799
NoRetryWriteHits = 799
NoRetryWriteMisses = 0
NoRetryNCWrites = 128000
NoRetryNCWriteHits = 128000
NoRetryNCWriteMisses = 0


[ l1-cu05 ]

Sets = 64
Assoc = 4
Policy = LRU
BlockSize = 64
Latency = 1
Ports = 2

Accesses = 264780
Hits = 258332
Misses = 6448
HitRatio = 0.9756
Evictions = 3872
Retries = 1520

Reads = 520980
ReadRetries = 1520
BlockingReads = 135980
NonBlockingReads = 0
ReadHits = 129532
ReadMisses = 391448

Writes = 800
WriteRetries = 0
BlockingWrites = 800
NonBlockingWrites = 0
WriteHits = 800
WriteMisses = 0

NCWrites = 512000
NCWriteRetries = 0
NCBlockingWrites = 128000
NCNonBlockingWrites = 0
NCWriteHits = 128000
NCWriteMisses = 384000
Prefetches = 0
PrefetchAborts = 0
UselessPrefetches = 0

NoRetryAccesses = 263260
NoRetryHits = 258332
NoRetryMisses = 4928
NoRetryHitRatio = 0.9813
NoRetryReads = 134460
NoRetryReadHits = 129532
NoRetryReadMisses = 4928
NoRetryWrites = 800
NoRetryWriteHits = 800
NoRetryWriteMisses = 0
NoRetryNCWrites = 128000
NoRetryNCWriteHits = 128000
NoRetryNCWriteMisses = 0


[ l1-cu06 ]

Sets = 64
Assoc = 4
Policy = LRU
BlockSize = 64
Latency = 1
Ports = 2

Accesses = 261389
Hits = 257397
Misses = 3992
HitRatio = 0.9847
Evictions = 2872
Retries = 64

Reads = 518589
ReadRetries = 64
BlockingReads = 132589
NonBlockingReads = 0
ReadHits = 128597
ReadMisses = 389992

Writes = 800
WriteRetries = 0
BlockingWrites = 800
NonBlockingWrites = 0
WriteHits = 800
WriteMisses = 0

NCWrites = 512000
NCWriteRetries = 0
NCBlockingWrites = 128000
NCNonBlockingWrites = 0
NCWriteHits = 128000
NCWriteMisses = 384000
Prefetches = 0
PrefetchAborts = 0
UselessPrefetches = 0

NoRetryAccesses = 261325
NoRetryHits = 257397
NoRetryMisses = 3928
NoRetryHitRatio = 0.985
NoRetryReads = 132525
NoRetryReadHits = 128597
NoRetryReadMisses = 3928
NoRetryWrites = 800
NoRetryWriteHits = 800
NoRetryWriteMisses = 0
NoRetryNCWrites = 128000
NoRetryNCWriteHits = 128000
NoRetryNCWriteMisses = 0


[ l1-cu07 ]

Sets = 64
Assoc = 4
Policy = LRU
BlockSize = 64
Latency = 1
Ports = 2

Accesses = 264556
Hits = 258267
Misses = 6289
HitRatio = 0.9762
Evictions = 3872
Retries = 1361

Reads = 520756
ReadRetries = 1361
BlockingReads = 135756
NonBlockingReads = 0
ReadHits = 129467
ReadMisses = 391289

Writes = 800
WriteRetries = 0
BlockingWrites = 800
NonBlockingWrites = 0
WriteHits = 800
WriteMisses = 0

NCWrites = 512000
NCWriteRetries = 0
NCBlockingWrites = 128000
NCNonBlockingWrites = 0
NCWriteHits = 128000
NCWriteMisses = 384000
Prefetches = 0
PrefetchAborts = 0
UselessPrefetches = 0

NoRetryAccesses = 263195
NoRetryHits = 258267
NoRetryMisses = 4928
NoRetryHitRatio = 0.9813
NoRetryReads = 134395
NoRetryReadHits = 129467
NoRetryReadMisses = 4928
NoRetryWrites = 800
NoRetryWriteHits = 800
NoRetryWriteMisses = 0
NoRetryNCWrites = 128000
NoRetryNCWriteHits = 128000
NoRetryNCWriteMisses = 0


[ l1-cu08 ]

Sets = 64
Assoc = 4
Policy = LRU
BlockSize = 64
Latency = 1
Ports = 2

Accesses = 261405
Hits = 257397
Misses = 4008
HitRatio = 0.9847
Evictions = 2872
Retries = 80

Reads = 518605
ReadRetries = 80
BlockingReads = 132605
NonBlockingReads = 0
ReadHits = 128597
ReadMisses = 390008

Writes = 800
WriteRetries = 0
BlockingWrites = 800
NonBlockingWrites = 0
WriteHits = 800
WriteMisses = 0

NCWrites = 512000
NCWriteRetries = 0
NCBlockingWrites = 128000
NCNonBlockingWrites = 0
NCWriteHits = 128000
NCWriteMisses = 384000
Prefetches = 0
PrefetchAborts = 0
UselessPrefetches = 0

NoRetryAccesses = 261325
NoRetryHits = 257397
NoRetryMisses = 3928
NoRetryHitRatio = 0.985
NoRetryReads = 132525
NoRetryReadHits = 128597
NoRetryReadMisses = 3928
NoRetryWrites = 800
NoRetryWriteHits = 800
NoRetryWriteMisses = 0
NoRetryNCWrites = 128000
NoRetryNCWriteHits = 128000
NoRetryNCWriteMisses = 0


[ l1-cu09 ]

Sets = 64
Assoc = 4
Policy = LRU
BlockSize = 64
Latency = 1
Ports = 2

Accesses = 264555
Hits = 258248
Misses = 6307
HitRatio = 0.9762
Evictions = 3871
Retries = 1380

Reads = 520755
ReadRetries = 1380
BlockingReads = 135755
NonBlockingReads = 0
ReadHits = 129448
ReadMisses = 391307

Writes = 800
WriteRetries = 0
BlockingWrites = 800
NonBlockingWrites = 0
WriteHits = 800
WriteMisses = 0

NCWrites = 512000
NCWriteRetries = 0
NCBlockingWrites = 128000
NCNonBlockingWrites = 0
NCWriteHits = 128000
NCWriteMisses = 384000
Prefetches = 0
PrefetchAborts = 0
UselessPrefetches = 0

NoRetryAccesses = 263175
NoRetryHits = 258248
NoRetryMisses = 4927
NoRetryHitRatio = 0.9813
NoRetryReads = 134375
NoRetryReadHits = 129448
NoRetryReadMisses = 4927
NoRetryWrites = 800
NoRetryWriteHits = 800
NoRetryWriteMisses = 0
NoRetryNCWrites = 128000
NoRetryNCWriteHits = 128000
NoRetryNCWriteMisses = 0


[ Network.net-l1-all-to-l2-all.General ]
Transfers = 204640
AverageMessageSize = 24.35
AverageLatency = 4.0287

[ Network.net-l1-all-to-l2-all.Link.link_<l2-0.out_buf_0>_<Switch.in_buf_0> ]
Config.Bandwidth = 264
TransferredMessages = 20435
TransferredBytes = 730456
BusyCycles = 20435
BytesPerCycle = 0.0044
Utilization = 0.0000

[ Network.net-l1-all-to-l2-all.Link.link_<Switch.out_buf_0>_<l2-0.in_buf_0> ]
Config.Bandwidth = 264
TransferredMessages = 20435
TransferredBytes = 265688
BusyCycles = 20435
BytesPerCycle = 0.0016
Utilization = 0.0000

[ Network.net-l1-all-to-l2-all.Link.link_<l2-1.out_buf_0>_<Switch.in_buf_1> ]
Config.Bandwidth = 264
TransferredMessages = 20581
TransferredBytes = 734888
BusyCycles = 20581
BytesPerCycle = 0.0044
Utilization = 0.0000

[ Network.net-l1-all-to-l2-all.Link.link_<Switch.out_buf_1>_<l2-1.in_buf_0> ]
Config.Bandwidth = 264
TransferredMessages = 20581
TransferredBytes = 270248
BusyCycles = 20581
BytesPerCycle = 0.0016
Utilization = 0.0000

[ Network.net-l1-all-to-l2-all.Link.link_<l2-2.out_buf_0>_<Switch.in_buf_2> ]
Config.Bandwidth = 264
TransferredMessages = 20444
TransferredBytes = 728928
BusyCycles = 20444
BytesPerCycle = 0.0044
Utilization = 0.0000

[ Network.net-l1-all-to-l2-all.Link.link_<Switch.out_buf_2>_<l2-2.in_buf_0> ]
Config.Bandwidth = 264
TransferredMessages = 20444
TransferredBytes = 264288
BusyCycles = 20444
BytesPerCycle = 0.0016
Utilization = 0.0000

[ Network.net-l1-all-to-l2-all.Link.link_<l2-3.out_buf_0>_<Switch.in_buf_3> ]
Config.Bandwidth = 264
TransferredMessages = 20431
TransferredBytes = 729336
BusyCycles = 20431
BytesPerCycle = 0.0044
Utilization = 0.0000

[ Network.net-l1-all-to-l2-all.Link.link_<Switch.out_buf_3>_<l2-3.in_buf_0> ]
Config.Bandwidth = 264
TransferredMessages = 20431
TransferredBytes = 265208
BusyCycles = 20431
BytesPerCycle = 0.0016
Utilization = 0.0000

[ Network.net-l1-all-to-l2-all.Link.link_<l2-4.out_buf_0>_<Switch.in_buf_4> ]
Config.Bandwidth = 264
TransferredMessages = 20429
TransferredBytes = 728744
BusyCycles = 20429
BytesPerCycle = 0.0044
Utilization = 0.0000

[ Network.net-l1-all-to-l2-all.Link.link_<Switch.out_buf_4>_<l2-4.in_buf_0> ]
Config.Bandwidth = 264
TransferredMessages = 20429
TransferredBytes = 264552
BusyCycles = 20429
BytesPerCycle = 0.0016
Utilization = 0.0000

[ Network.net-l1-all-to-l2-all.Link.link_<l1-cu00.out_buf_0>_<Switch.in_buf_5> ]
Config.Bandwidth = 264
TransferredMessages = 8701
TransferredBytes = 120680
BusyCycles = 8701
BytesPerCycle = 0.0007
Utilization = 0.0000

[ Network.net-l1-all-to-l2-all.Link.link_<Switch.out_buf_5>_<l1-cu00.in_buf_0> ]
Config.Bandwidth = 264
TransferredMessages = 8701
TransferredBytes = 321064
BusyCycles = 8701
BytesPerCycle = 0.0019
Utilization = 0.0000

[ Network.net-l1-all-to-l2-all.Link.link_<l1-cu01.out_buf_0>_<Switch.in_buf_6> ]
Config.Bandwidth = 264
TransferredMessages = 12078
TransferredBytes = 147696
BusyCycles = 12078
BytesPerCycle = 0.0009
Utilization = 0.0000

[ Network.net-l1-all-to-l2-all.Link.link_<Switch.out_buf_6>_<l1-cu01.in_buf_0> ]
Config.Bandwidth = 264
TransferredMessages = 12078
TransferredBytes = 412144
BusyCycles = 12078
BytesPerCycle = 0.0025
Utilization = 0.0000

[ Network.net-l1-all-to-l2-all.Link.link_<l1-cu02.out_buf_0>_<Switch.in_buf_7> ]
Config.Bandwidth = 264
TransferredMessages = 8415
TransferredBytes = 118392
BusyCycles = 8415
BytesPerCycle = 0.0007
